Day;Category Title;% de total Eventos
3/1/2018;Sports;7,547169811%
4/1/2018;Sports;7,407407407%
5/1/2018;Sports;7,407407407%
6/1/2018;Sports;7,692307692%
7/1/2018;Sports;7,843137255%
8/1/2018;Sports;7,547169811%
9/1/2018;Sports;7,692307692%
12/1/2018;Sports;7,272727273%
13/1/2018;Sports;7,547169811%
14/1/2018;Sports;7,692307692%
15/1/2018;Sports;7,692307692%
16/1/2018;Sports;7,843137255%
17/1/2018;Sports;7,272727273%
18/1/2018;Sports;7,407407407%
19/1/2018;Sports;7,692307692%
20/1/2018;Sports;7,692307692%
21/1/2018;Sports;7,843137255%
22/1/2018;Sports;7,692307692%
23/1/2018;Sports;7,407407407%
24/1/2018;Sports;7,843137255%
25/1/2018;Sports;7,692307692%
26/1/2018;Sports;7,547169811%
27/1/2018;Sports;7,692307692%
28/1/2018;Sports;7,843137255%
29/1/2018;Sports;7,407407407%
30/1/2018;Sports;7,142857143%
31/1/2018;Sports;7,017543860%
1/2/2018;Sports;7,407407407%
2/2/2018;Sports;7,407407407%
3/2/2018;Sports;7,843137255%
4/2/2018;Sports;8%
5/2/2018;Sports;7,547169811%
6/2/2018;Sports;7,407407407%
7/2/2018;Sports;7,692307692%
8/2/2018;Sports;7,936507937%
9/2/2018;Sports;7,352941176%
10/2/2018;Sports;7,692307692%
11/2/2018;Sports;7,936507937%
12/2/2018;Sports;7,8125%
13/2/2018;Sports;7,462686567%
14/2/2018;Sports;7,692307692%
15/2/2018;Sports;6,153846154%
16/2/2018;Sports;7,352941176%
17/2/2018;Sports;7,692307692%
18/2/2018;Sports;7,8125%
19/2/2018;Sports;7,8125%
20/2/2018;Sports;7,692307692%
21/2/2018;Sports;7,692307692%
22/2/2018;Sports;7,692307692%
23/2/2018;Sports;7,8125%
24/2/2018;Sports;7,462686567%
25/2/2018;Sports;7,8125%
26/2/2018;Sports;7,692307692%
27/2/2018;Sports;7,575757576%
28/2/2018;Sports;7,246376812%
1/3/2018;Sports;7,936507937%
2/3/2018;Sports;7,575757576%
3/3/2018;Sports;7,8125%
4/3/2018;Sports;7,692307692%
5/3/2018;Sports;7,575757576%
6/3/2018;Sports;7,8125%
7/3/2018;Sports;7,575757576%
8/3/2018;Sports;7,936507937%
9/3/2018;Sports;7,8125%
10/3/2018;Sports;8,064516129%
11/3/2018;Sports;8,064516129%
12/3/2018;Sports;7,692307692%
13/3/2018;Sports;7,462686567%
14/3/2018;Sports;7,462686567%
15/3/2018;Sports;7,407407407%
16/3/2018;Sports;7,936507937%
17/3/2018;Sports;7,936507937%
18/3/2018;Sports;8,064516129%
19/3/2018;Sports;7,936507937%
20/3/2018;Sports;7,936507937%
21/3/2018;Sports;7,8125%
22/3/2018;Sports;7,936507937%
23/3/2018;Sports;7,8125%
24/3/2018;Sports;7,692307692%
25/3/2018;Sports;7,8125%
26/3/2018;Sports;7,692307692%
27/3/2018;Sports;7,575757576%
28/3/2018;Sports;8,196721311%
29/3/2018;Sports;7,936507937%
30/3/2018;Sports;7,936507937%
31/3/2018;Sports;8,196721311%
1/4/2018;Sports;7,692307692%
2/4/2018;Sports;7,575757576%
3/4/2018;Sports;7,8125%
4/4/2018;Sports;7,8125%
5/4/2018;Sports;7,575757576%
6/4/2018;Sports;7,936507937%
7/4/2018;Sports;8,196721311%
14/4/2018;Sports;7,692307692%
15/4/2018;Sports;7,692307692%
16/4/2018;Sports;7,462686567%
17/4/2018;Sports;7,575757576%
18/4/2018;Sports;7,8125%
19/4/2018;Sports;7,692307692%
20/4/2018;Sports;7,575757576%
21/4/2018;Sports;7,462686567%
22/4/2018;Sports;7,575757576%
23/4/2018;Sports;7,352941176%
24/4/2018;Sports;6,060606061%
25/4/2018;Sports;7,462686567%
26/4/2018;Sports;7,8125%
27/4/2018;Sports;7,692307692%
28/4/2018;Sports;7,575757576%
29/4/2018;Sports;7,692307692%
30/4/2018;Sports;7,575757576%
1/5/2018;Sports;7,692307692%
2/5/2018;Sports;7,8125%
3/5/2018;Sports;7,936507937%
4/5/2018;Sports;7,692307692%
5/5/2018;Sports;7,462686567%
6/5/2018;Sports;8,064516129%
